run_id,timestamp,world,run_start_t,gates_detected,gate_positions,gates_lost_count,lap2_start_t,lap2_end_t,lap2_duration_s,lap2_started,lap2_finished,timed_out,notes
1,2026-04-29T21:11:08,crazyflie_world_assignment.wbt,0.02,5,"[3.26, 2.67, 1.84] | [5.2, 1.24, 1.52] | [5.72, 4.05, 1.1] | [4.71, 6.65, 1.53] | [3.04, 5.25, 1.35]",0,86.32,104.28,17.96,True,True,False,
2,2026-04-29T21:15:00,crazyflie_world_assignment.wbt,0.01,2,"[3.35, 2.69, 1.58] | [4.62, 1.63, 1.82]",1,,,,False,False,True,gate_lost_at=3 | timeout_at_real=300s
3,2026-04-29T21:20:00,crazyflie_world_assignment.wbt,0.01,2,"[2.62, 2.22, 0.87] | [5.42, 1.62, 1.34]",0,,,,False,False,False,
4,2026-04-29T21:21:03,crazyflie_world_assignment.wbt,0.01,0,,0,,,,False,False,False,
5,2026-04-29T21:21:32,crazyflie_world_assignment.wbt,0.01,5,"[3.38, 2.33, 1.48] | [5.21, 2.19, 1.7] | [6.58, 3.87, 1.02] | [5.77, 6.51, 1.14] | [3.34, 5.89, 0.65]",0,52.51,71.01,18.5,True,True,False,
6,2026-04-29T21:23:54,crazyflie_world_assignment.wbt,0.02,5,"[3.14, 2.86, 0.67] | [6.01, 1.73, 0.95] | [6.2, 4.52, 1.53] | [4.87, 7.08, 0.96] | [2.19, 6.51, 1.22]",0,73.78,95.31,21.54,True,True,False,
7,2026-04-29T21:27:01,crazyflie_world_assignment.wbt,0.02,4,"[2.41, 1.55, 1.41] | [5.72, 1.82, 1.63] | [5.55, 4.38, 1.6] | [2.79, 6.59, 1.1]",0,,,,False,False,True,timeout_at_real=275s
8,2026-04-29T21:31:36,crazyflie_world_assignment.wbt,0.01,3,"[3.11, 2.69, 1.77] | [4.99, 2.71, 1.04] | [6.8, 3.95, 1.27]",0,,,,False,False,False,
9,2026-04-29T21:32:25,crazyflie_world_assignment.wbt,0.02,0,,0,,,,False,False,False,interrupted
1,2026-04-29T21:34:23,crazyflie_world_assignment.wbt,0.02,4,"[3.12, 2.65, 0.87] | [5.06, 2.8, 1.53] | [5.56, 4.39, 0.51] | [4.71, 5.41, 1.41]",0,,,,False,False,True,timeout_at_real=255s
2,2026-04-29T21:38:37,crazyflie_world_assignment.wbt,0.02,5,"[1.98, 1.33, 1.24] | [4.77, 2.29, 1.18] | [6.34, 4.03, 1.43] | [5.57, 5.55, 0.68] | [2.64, 6.11, 1.78]",0,56.11,77.29,21.18,True,True,False,
